"Вопрос","Категория"
"Подписание контракта после отказа от заключения со стороны заказчика.","Заключение контракта"
"Участие в котировочной сессии","Участие в закупках"
"Страница контракта организации","Просмотр информации о контракте"
"Определение победителя и заключение контракта с победителем закупки с неизвестным объемом","Заключение контракта"
"Создание и публикация закупки с неизвестным объемом (по цене за единицу продукции)","Создание закупки"
"Настройка MS Word перед работой","Технические вопросы"
"Новая версия опубликованного шаблона","Работа с шаблонами"
"Утверждение заявки на регистрацию новой организации","Регистрация организации"
"Разблокировка пользователя","Управление пользователями"
"Уведомления о наступающих сроках исполнения этапа","Уведомления"
"Как заполнить раздел «Статистические коды» при подаче заявки на регистрацию компании?","Регистрация организации"
"При подаче заявки на регистрацию компании возникает ошибка «Не заполнены поля «Банковский идентификационный код» и «Расчетный счет»","Техническая ошибка"
"Уведомление «Есть ограничения»","Уведомления"
" Где можно найти виджеты Портала поставщиков?","Технические вопросы"
"Как присоединиться к тематической странице/группе в социальной сети о Портале поставщиков?","Социальные сети"
"Перевод страницы Портала поставщиков на иностранный язык.","Технические вопросы"
"Как добавить характеристики, если их нет в выпадающем списке","Редактирование оферты/СТЕ"
"Отображение оферты","Просмотр информации об оферте"
"Удаление оферты","Редактирование оферты/СТЕ"
"Статус оферты ""Ввод сведений""","Статусы оферты"
"Архивирование оферты","Редактирование оферты/СТЕ"
"Ошибка сохранения СТЕ ""Не заполнены обязательные характеристики: ...""","Техническая ошибка"
"Как изменить единицу измерения в оферте","Редактирование оферты/СТЕ"
"При создании оферты ошибка ""СТЕ находится в архиве""","Техническая ошибка"
"Внесение изменений в  оферту","Редактирование оферты/СТЕ"
"Как выбрать категорию продукции?","Редактирование оферты/СТЕ"
"Как найти заявку СТЕ?","Поиск информации"
"Отображение оферт по результатам Котировочной сессии в открытом доступе","Просмотр информации об оферте"
"Типы характеристик и как их заполнять?","Редактирование оферты/СТЕ"
"Заявка в статусе ""Черновик"", сколько ждать рассмотрения заявки?","Статусы заявок"
"Как на Портале поставщиков пользователю ознакомиться с карточкой поставщика/ карточкой заказчика своей организации?","Просмотр информации об организации"
"Как на Портале поставщиков ознакомиться с информаностью по регионам?","Просмотр информации"
"Оферта в статусе ""Ввод сведений"" после заявки на СТЕ","Статусы оферты"
"В нашей оферте отображается, что по ней заключены контракты, но у нас контрактов нет","Техническая ошибка"
"Действия после отправки заявки на добавление СТЕ","Редактирование оферты/СТЕ"
"При каких условиях в оферте возможна прямая закупка?","Прямая закупка"
"Как определяется срок действия оферты?","Редактирование оферты/СТЕ"
"Единица измерения СТЕ","Редактирование оферты/СТЕ"
"В каком формате загружать прайс-листы?","Работа с файлами"
"Ошибка загрузки файла YML","Техническая ошибка"
"Как указать срок доставки в файле YML?","Работа с файлами"
"""Ошибка формата"" при загрузке прайс-листа","Техническая ошибка"
"Требования к изображению в прайс-листе","Работа с файлами"
"Что такое ""Количественные характеристики""?","Редактирование оферты/СТЕ"
"Что такое ""Качественные характеристики""","Редактирование оферты/СТЕ"
"Как указать единицу измерения, если её нет в списке?","Редактирование оферты/СТЕ"
"Как массово загрузить оферты?","Работа с файлами"
"Способы создания оферт и СТЕ","Редактирование оферты/СТЕ"
"Заявка СТЕ утверждена, оферта отсутствует в ""Управление офертами""","Техническая ошибка"
"Ошибка ""Некорректное наименование файла"".","Техническая ошибка"
"Нет нужной категории продукции на Портале Поставщиков","Редактирование оферты/СТЕ"
"Как поменять КПГЗ в стандартной товарной единице (СТЕ)?","Редактирование оферты/СТЕ"
"Как изменить/продлить срок действия оферты?","Редактирование оферты/СТЕ"
"Какие полномочия должны быть присвоены пользователю для подачи заявки на изменение данных компании на Портале поставщиков?","Управление пользователями"
"В оферте отображается КПГЗ отличный от СТЕ","Техническая ошибка"
"Не получается редактировать оферту, созданную по результатам котировочной сессии","Редактирование оферты/СТЕ"
"Отсутствует кнопка ""Опубликовать предложение""","Техническая ошибка"
"В оферте отсутствует ОКПД2","Техническая ошибка"
"Как поменять ОКПД2 в оферте?","Редактирование оферты/СТЕ"
"Как скопировать оферту?","Редактирование оферты/СТЕ"
"Нет кнопки ""Прикрепить файл"" в оферте","Техническая ошибка"
